filling time,[CH4] (ppb),δD SMOW (‰)
2016-11-16 02:31:00,1995.81235944,-89.54
2016-11-16 03:05:00,1997.81235944,-88.1
2016-11-16 04:13:00,2009.81235944,-88.22
2016-11-16 04:47:00,2113.81235944,-97.71
2016-11-16 05:54:00,2159.81235944,-102.75
2016-11-16 06:28:00,2144.81235944,-101.98
2016-11-16 07:36:00,2163.81235944,-106.75
2016-11-16 08:09:00,2169.81235944,-106.98
2016-11-16 10:56:00,1922.81235944,-82.06
2016-11-16 11:29:00,1913.81235944,-74.28
2016-11-16 12:37:00,1942.81235944,-79.26
2016-11-16 13:11:00,1917.81235944,-79.4
2016-11-16 14:18:00,1952.81235944,-77.91
2016-11-16 14:52:00,1937.81235944,-81.89
2016-11-16 16:00:00,1949.81235944,-84.85
2016-11-16 16:34:00,1977.81235944,-90.81
2016-11-16 17:41:00,1948.81235944,-83.15
2016-11-16 18:15:00,1958.81235944,-88.39
2016-11-16 19:23:00,2010.81235944,-93.55
2016-11-16 19:57:00,1985.81235944,-85.44
2016-11-16 21:04:00,1955.81235944,-86.81
2016-11-16 21:38:00,1994.81235944,-95.08
2016-11-16 22:46:00,2014.81235944,-96.94
2016-11-16 23:20:00,1950.81235944,-94.88
2016-11-17 00:27:00,1999.81235944,-84.76
2016-11-17 01:01:00,1990.81235944,-85.44
2016-11-17 02:09:00,1966.81235944,-92.6
2016-11-17 02:43:00,2021.81235944,-97.13
2016-11-17 03:50:00,2029.81235944,-91.13
2016-11-17 04:24:00,2058.81235944,-99.57
2016-11-17 05:32:00,2153.81235944,-104.51
2016-11-17 06:05:00,2166.81235944,-112.53
2016-11-23 17:20:00,2149.0,-94.02
2016-11-23 17:54:00,2255.0,-103.02
2016-11-23 19:02:00,2072.0,-96.57
2016-11-23 19:36:00,2028.0,-87.45
2016-11-23 20:44:00,1957.0,-88.74
2016-11-23 21:17:00,1950.0,-85.12
2016-11-23 22:25:00,1932.0,-87.51
2016-11-23 22:59:00,1945.0,-83.32
2016-11-24 00:07:00,1940.0,-77.62
2016-11-24 00:41:00,1936.0,-82.48
2016-11-24 01:48:00,1944.0,-77.48
2016-11-24 02:22:00,1937.0,-78.99
2016-11-24 03:30:00,1943.0,-78.69
2016-11-24 04:04:00,1937.0,-80.32
2016-11-24 05:12:00,1951.0,-80.83
2016-11-24 05:46:00,1947.0,-79.78
2016-11-24 06:53:00,1947.0,-80.29
2016-11-24 07:27:00,1955.0,-80.03
2016-11-24 08:35:00,1961.0,-77.87
2016-11-24 09:09:00,1933.0,-81.26
2016-11-24 21:23:00,1997.0,-91.01
2016-11-24 23:04:00,2015.0,-95.31
2016-11-24 23:38:00,2015.0,-90.69
2016-11-25 01:20:00,2016.0,-94.16
2016-11-25 04:10:00,1974.0,-88.26
2016-11-25 05:51:00,2012.0,-88.52
2016-11-25 06:26:00,1996.0,-90.37
2016-11-25 08:07:00,1984.0,-87.95
2016-11-25 10:57:00,2001.0,-89.86
2016-11-25 12:39:00,2025.0,-93.98
2016-11-25 16:44:00,2007.0,-88.76
2016-11-25 17:18:00,1987.0,-86.22
2016-11-25 19:34:00,2023.0,-92.85
2016-11-25 21:15:00,2027.0,-92.94
2016-11-25 23:31:00,2102.0,-99.81
2016-11-26 00:05:00,2073.0,-95.17
2016-11-26 02:21:00,2122.0,-105.78
2016-11-26 04:03:00,2151.0,-97.57
2016-11-26 06:18:00,2110.0,-106.73
2016-11-26 06:52:00,2100.0,-95.1
2016-11-26 09:08:00,1934.0,-88.18
2016-11-26 10:50:00,1949.0,-93.01
2016-11-26 13:06:00,2407.0,-119.47
2016-11-26 13:40:00,2333.0,-120.41
2016-11-26 15:56:00,2036.0,-91.26
2016-11-26 17:37:00,2083.0,-102.22
2016-11-26 19:53:00,2022.0,-92.1
2016-11-26 20:27:00,1968.0,-84.92
2016-11-26 22:43:00,1904.0,-69.98
2016-11-27 00:24:00,1920.0,-71.77
2016-11-27 02:40:00,1920.0,-82.01
2016-11-27 03:14:00,1923.0,-82.26
2016-11-27 05:30:00,1938.0,-78.68
2016-11-27 07:11:00,1939.0,-85.77
2016-11-27 09:27:00,1951.0,-86.66
2016-11-27 10:01:00,1943.0,-86.8
2016-11-27 12:17:00,1931.0,-83.46
2016-11-27 13:59:00,1940.0,-83.03
2016-11-27 16:14:00,1937.0,-86.7
2016-11-27 16:49:00,1932.0,-79.61
2016-11-27 19:04:00,1949.0,-84.14
2016-11-27 20:46:00,1970.0,-90.98
2016-11-28 01:58:00,1964.1187951666666,-94.61
2016-11-28 02:33:00,1953.1187951666666,-93.75
2016-11-28 04:48:00,1972.1187951666666,-93.36
2016-11-28 06:30:00,1967.1187951666666,-87.41
2016-11-28 08:46:00,1966.1187951666666,-88.2
2016-11-28 09:20:00,1942.1187951666666,-87.03
2016-11-28 11:36:00,1993.1187951666666,-82.65
2016-11-28 13:17:00,2003.1187951666666,-91.17
2016-11-28 15:33:00,1996.1187951666666,-85.43
2016-11-28 16:07:00,1980.1187951666666,-86.3
2016-11-28 18:23:00,1987.1187951666666,-85.6
2016-11-28 20:05:00,1970.1187951666666,-80.16
2016-11-28 22:21:00,1990.1187951666666,-85.01
2016-11-28 22:55:00,1980.1187951666666,-85.88
2016-11-29 01:11:00,1980.1187951666666,-83.87
2016-11-29 02:52:00,1993.1187951666666,-87.56
2016-11-29 05:08:00,2006.1187951666666,-84.5
2016-11-29 05:42:00,2017.1187951666666,-90.25
